,Administrative_Duration,Informational_Duration,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
24,0.0,0.0,202.3333333,0.0,0.01875,0.0,0.0,May,3,2,1,6,Returning_Visitor,True,False
25,19.6,0.0,0.0,0.0,0.088888889,0.0,0.0,Oct,3,5,1,5,Returning_Visitor,False,False
26,0.0,0.0,4190.75,0.021764706,0.074369748,0.0,0.0,May,2,2,8,6,Returning_Visitor,False,False
27,0.0,0.0,1184.5,0.006666667,0.048333333,0.0,0.6,May,4,2,1,1,Returning_Visitor,False,False
28,19.0,0.0,1875.744689,0.028571429,0.041156463,0.0,0.0,May,3,2,4,1,Returning_Visitor,False,False
29,4.0,0.0,1107.666667,0.005925926,0.020148148,0.0,0.8,May,2,2,2,2,Returning_Visitor,False,False
30,57.33333333,167.8,6942.783547,0.002212389,0.015536555,2.780937777,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
31,0.0,0.0,149.0,0.0,0.1,0.0,0.0,May,1,1,1,3,Returning_Visitor,False,False
32,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,True,False
33,38.0,16.0,1522.816667,0.026666667,0.027333333,0.0,0.0,May,3,2,2,13,Returning_Visitor,False,False
34,0.0,0.0,314.5,0.033333333,0.066666667,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
35,392.0,193.1666667,3711.605357,0.001754386,0.012573099,0.850509525,0.0,Nov,2,2,1,1,Returning_Visitor,False,True
36,242.8,0.0,238.6,0.018181818,0.063636364,0.0,0.0,Oct,2,2,1,2,Returning_Visitor,True,False
37,9.0,0.0,558.1933333,0.0,0.011111111,0.0,0.0,Aug,2,2,3,1,Returning_Visitor,False,False
38,84.0,0.0,506.7666667,0.017391304,0.038405797,0.0,0.0,May,3,2,4,3,Returning_Visitor,False,False
39,576.0,0.0,587.75,0.030769231,0.061538462,0.0,0.0,Nov,1,1,4,1,Returning_Visitor,False,False
40,13.0,10.0,445.0,0.0,0.003508772,0.0,0.0,Nov,1,1,4,3,Returning_Visitor,False,False
41,96.0,0.0,1238.5,0.005128205,0.016410256,0.0,0.0,Mar,2,2,1,2,New_Visitor,False,False
42,82.95714286,0.0,951.4412698,0.013793103,0.025860732,0.0,0.0,Oct,3,2,1,2,Returning_Visitor,False,False
43,0.0,0.0,499.75,0.00952381,0.033333333,0.0,0.0,Nov,2,4,3,10,Returning_Visitor,False,True
44,0.0,0.0,2195.580952,0.0,0.021428571,8.391281758,0.0,Oct,1,1,3,2,Returning_Visitor,False,True
45,5.0,0.0,3441.439286,0.007142857,0.005654762,0.0,0.0,Dec,3,2,8,10,Returning_Visitor,False,False
46,0.0,0.0,850.2083333,0.0,0.016666667,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
47,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
48,0.0,0.0,133.5,0.0,0.088888889,0.0,0.0,Mar,1,2,1,8,Returning_Visitor,False,False
49,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Nov,2,7,2,1,Returning_Visitor,False,False
50,10.0,0.0,753.5,0.02,0.04,0.0,0.0,Nov,2,2,2,2,Returning_Visitor,False,False
51,171.1190476,0.0,472.752381,0.028571429,0.029761905,0.0,0.0,Nov,3,2,2,4,Returning_Visitor,False,False
52,29.2,0.0,199.2844444,0.0,0.0,0.0,0.0,Jul,1,1,1,4,Returning_Visitor,False,False
53,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Mar,3,2,3,11,Returning_Visitor,False,False
54,63.0,204.25,457.25,0.009090909,0.013636364,0.0,0.0,Dec,3,2,7,2,New_Visitor,False,True
55,0.0,0.0,1054.3,0.066666667,0.1,0.0,0.0,Jul,2,12,6,3,Returning_Visitor,False,False
56,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,False
57,0.0,0.0,905.4856061,0.0135,0.03747619,0.0,0.0,Mar,3,2,2,1,Returning_Visitor,False,False
58,0.0,0.0,29.16666667,0.0,0.1,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
59,28.0,0.0,290.0,0.0,0.01,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
60,985.5,308.0,328.0,0.0,0.015384615,0.0,0.0,Mar,2,2,3,2,New_Visitor,False,False
61,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Dec,2,2,8,3,Returning_Visitor,False,False
62,131.0,0.0,1752.942857,0.020075188,0.03374269,0.0,0.2,May,1,1,3,4,Returning_Visitor,False,False
63,106.75,0.0,137.3333333,0.0,0.005,0.0,0.0,Mar,3,2,1,2,New_Visitor,True,False
64,0.0,0.0,0.0,0.2,0.2,0.0,0.0,June,2,2,1,1,Returning_Visitor,False,False
65,0.0,0.0,2017.166667,0.0,0.011111111,0.0,0.8,Feb,2,2,4,3,Returning_Visitor,False,False
66,0.0,0.0,74.0,0.0,0.04,0.0,0.0,Mar,2,2,1,10,Returning_Visitor,False,False
67,62.6,0.0,272.5,0.0,0.011111111,0.0,0.0,Oct,1,1,1,2,New_Visitor,True,False
68,88.0,0.0,3195.828571,0.002564103,0.015897436,0.0,0.0,May,2,2,3,2,Returning_Visitor,False,False
69,57.0,0.0,3556.516667,0.0,0.00968254,26.98362279,0.0,Dec,2,4,3,1,Returning_Visitor,False,False
70,65.4,0.0,2426.006667,0.001265823,0.017721519,0.0,0.0,Sep,3,2,1,3,Returning_Visitor,False,False
71,143.25,0.0,2508.413853,0.0,0.00745614,54.16451768,0.0,Nov,2,2,7,2,Returning_Visitor,False,True
72,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Mar,2,2,3,3,Returning_Visitor,True,False
73,0.0,0.0,465.5,0.12,0.16,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,False
74,0.0,0.0,437.8333333,0.0,0.024242424,0.0,0.0,Nov,3,3,3,11,New_Visitor,False,False
75,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,3,2,3,1,Returning_Visitor,False,False
76,93.5,0.0,1197.93254,0.0,0.02029036,0.0,0.0,Dec,2,2,7,2,Returning_Visitor,False,False
77,62.0,193.0,139.0,0.0,0.0125,0.0,0.0,Mar,3,2,1,10,Returning_Visitor,False,False
78,47.0,0.0,738.9107143,0.017391304,0.023671498,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
79,71.5,0.0,758.75,0.004444444,0.015555556,0.0,0.0,Mar,2,5,2,2,Returning_Visitor,False,False
80,0.0,0.0,130.0,0.057142857,0.085714286,0.0,0.0,Nov,2,5,9,10,Returning_Visitor,True,False
81,59.0,0.0,7114.798341,0.002597403,0.010709751,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
82,47.5,0.0,787.2,0.0,0.012121212,2.782886364,0.4,May,2,2,4,4,Returning_Visitor,False,False
83,0.0,0.0,530.5833333,0.019047619,0.021428571,0.0,0.0,Nov,3,2,4,3,Returning_Visitor,False,False
84,0.0,0.0,700.6666667,0.0,0.015384615,0.0,0.0,May,3,2,1,4,Returning_Visitor,False,False
85,43.0,0.0,2362.5,0.0,0.016190476,0.0,0.6,May,2,5,1,4,Returning_Visitor,False,False
86,0.0,0.0,289.5,0.0,0.014285714,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,True,False
87,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Nov,1,8,3,1,Returning_Visitor,False,False
88,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Jul,1,1,1,1,Returning_Visitor,True,False
89,0.0,0.0,1074.428571,0.015384615,0.021538462,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,False,False
90,0.0,0.0,3614.105147,0.006439394,0.020569813,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,True,False
91,16.0,0.0,1123.242857,0.006060606,0.021969697,11.12342124,0.0,Mar,2,2,3,13,Returning_Visitor,False,False
92,0.0,0.0,1061.0,0.0,0.025,0.0,0.6,May,2,4,1,3,Returning_Visitor,False,False
93,600.4230769,0.0,1883.827222,0.00075188,0.013061325,0.120699914,0.0,Mar,2,2,1,8,Returning_Visitor,False,True
94,0.0,0.0,3528.060714,0.006213018,0.035602227,0.0,0.0,Jul,2,2,1,1,Returning_Visitor,False,False
95,55.4,0.0,451.7,0.003448276,0.022988506,0.0,0.0,Aug,2,2,3,4,Returning_Visitor,False,False
96,0.0,0.0,192.45,0.036363636,0.040909091,27.31510469,0.0,Oct,3,2,1,1,Returning_Visitor,True,True
97,0.0,0.0,723.0,0.015873016,0.026077098,0.0,0.0,Dec,3,2,2,13,Returning_Visitor,False,False
98,131.5,0.0,1960.475,0.007407407,0.024074074,33.69233226,0.0,Nov,1,1,1,2,Returning_Visitor,False,True
99,91.0,338.0,451.0,0.0,0.006666667,45.7504,0.0,Mar,2,2,1,10,New_Visitor,False,True
100,0.0,0.0,5220.083333,0.0,0.003329865,51.46331148,0.0,Mar,2,5,3,1,Returning_Visitor,True,True
101,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,2,2,5,13,Returning_Visitor,False,False
102,56.5,0.0,1089.75,0.0,0.003508772,24.872085,0.0,Dec,2,2,7,2,Returning_Visitor,False,True
103,59.5,20.0,5604.977381,0.004888889,0.016624762,5.344898889,0.0,May,2,7,1,6,Returning_Visitor,False,True
104,14.0,0.0,288.0,0.0125,0.0375,0.0,0.0,Mar,1,1,4,2,Returning_Visitor,True,False
105,285.2,0.0,619.48,0.007692308,0.034615385,8.342755887,0.0,Jul,2,4,2,4,Returning_Visitor,False,False
106,0.0,0.0,630.75,0.0,0.04047619,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,True,False
107,101.2,438.7,1692.694155,0.012068966,0.022197723,0.0,0.0,Aug,3,2,4,1,Returning_Visitor,False,False
108,49.5,0.0,1570.362302,0.008959436,0.027766386,1.818480813,0.0,Nov,3,2,1,10,Returning_Visitor,False,True
109,82.01111111,211.6,6117.814359,0.0,0.003964551,22.36033441,0.0,Sep,2,2,1,6,Returning_Visitor,False,False
110,232.3404762,19.2,504.0285714,0.0,0.003763441,0.0,0.0,Sep,1,1,1,3,New_Visitor,False,False
111,0.0,0.0,214.25,0.091666667,0.097777778,0.0,0.8,May,3,2,3,13,Returning_Visitor,False,False
112,0.0,0.0,632.5833333,0.0,0.021666667,0.0,0.0,Mar,2,5,1,1,Returning_Visitor,False,False
113,0.0,0.0,24.0,0.133333333,0.166666667,0.0,0.8,May,2,2,7,3,Returning_Visitor,False,False
114,0.0,0.0,0.0,0.2,0.2,0.0,0.8,May,2,2,1,1,Returning_Visitor,False,False
115,20.2,0.0,2129.8,0.012903226,0.051612903,6.476760366,0.0,Sep,2,6,3,3,Returning_Visitor,False,True
116,0.0,0.0,445.625,0.019354839,0.030322581,0.0,0.0,Nov,2,2,2,3,Returning_Visitor,False,False
117,0.0,0.0,0.0,0.2,0.2,0.0,0.8,May,3,2,2,13,Returning_Visitor,False,False
118,0.0,0.0,359.0,0.0,0.020512821,0.0,0.0,May,1,1,7,2,Returning_Visitor,True,False
119,58.5,0.0,1568.5,0.0,0.036363636,0.0,0.0,Nov,2,2,7,2,Returning_Visitor,False,False
120,134.0,0.0,1429.616667,0.0,0.00952381,0.0,0.0,Nov,1,1,2,2,New_Visitor,False,False
121,0.0,0.0,219.0,0.0,0.025,0.0,0.0,Dec,2,5,3,2,Returning_Visitor,False,False
122,21.0,0.0,278.1366667,0.0,0.007692308,77.4579855,0.0,Nov,2,2,7,2,New_Visitor,False,False
123,0.0,0.0,2243.676587,0.0,0.002985075,97.9922066,0.0,Nov,2,2,2,2,Returning_Visitor,False,True
124,0.0,0.0,945.0108696,0.006334842,0.023889556,0.0,0.0,Mar,3,2,3,10,Returning_Visitor,False,False
125,46.5,418.5,2085.972565,0.0,0.006273946,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
126,15.0,4.0,6740.557143,0.013761468,0.032553517,24.80248887,0.0,Nov,2,2,1,1,Returning_Visitor,False,True
127,0.0,0.0,711.1666667,0.0,0.016,0.0,0.0,Dec,2,2,2,3,Returning_Visitor,False,False
128,18.6,54.4,1390.40359,0.017021277,0.023262411,0.0,0.0,Jul,3,2,7,13,Returning_Visitor,True,False
129,0.0,0.0,117.8,0.15,0.15,0.0,0.0,June,1,1,3,3,Returning_Visitor,True,False
130,4.0,0.0,203.0,0.0,0.041176471,0.0,0.0,May,2,5,4,3,Returning_Visitor,False,False
131,0.0,0.0,1673.653846,0.039215686,0.05122549,0.0,0.0,May,3,2,3,4,Returning_Visitor,False,False
132,88.0,0.0,522.6666667,0.0,0.022222222,0.0,0.0,May,3,3,1,4,Returning_Visitor,False,False
133,183.7857143,90.0,3346.501984,0.00211827,0.018655904,5.932009013,0.0,Nov,3,2,2,2,Returning_Visitor,False,True
134,238.4666667,300.9,1801.371429,0.0055,0.040415616,8.08269,0.0,May,2,1,1,4,Returning_Visitor,True,False
135,135.65,0.0,1589.27381,0.0,0.020767196,0.0,0.0,Mar,4,1,3,1,Returning_Visitor,True,False
136,0.0,0.0,1088.866667,0.0,0.010526316,16.1585582,0.0,Nov,3,2,1,2,Returning_Visitor,True,True
137,0.0,0.0,608.5227273,0.015384615,0.021952663,0.0,0.0,May,2,2,1,6,Returning_Visitor,True,False
138,0.0,0.0,148.1666667,0.0,0.057142857,0.0,0.4,May,1,1,1,20,Returning_Visitor,False,False
139,13.0,0.0,296.2333333,0.0125,0.029166667,0.0,0.0,May,1,1,2,3,Returning_Visitor,True,False
140,0.0,0.0,19.0,0.0,0.1,0.0,0.0,Nov,1,1,1,2,New_Visitor,True,False
141,0.0,0.0,314.5,0.0,0.013333333,0.0,0.0,Dec,8,13,9,20,Other,False,False
142,109.0,34.0,1049.833333,0.0125,0.028645833,0.0,0.0,May,2,2,6,4,Returning_Visitor,True,False
143,0.0,0.0,258.0,0.025,0.075,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
144,0.0,201.9,393.3,0.0,0.006666667,3.92827844,0.0,Sep,2,2,1,4,Returning_Visitor,False,True
145,0.0,0.0,66.5,0.011111111,0.111111111,0.0,0.4,May,2,2,5,4,Returning_Visitor,False,False
146,0.0,117.0,404.0,0.025,0.0375,0.0,0.0,Dec,2,2,8,2,Returning_Visitor,False,False
147,0.0,0.0,187.0,0.0,0.022222222,0.0,0.0,May,4,2,7,4,Returning_Visitor,False,False
148,151.5,0.0,304.75,0.0,0.007407407,0.0,0.0,Dec,3,2,2,2,Returning_Visitor,False,False
149,0.0,0.0,319.5,0.047777778,0.088888889,0.0,0.0,May,2,2,3,1,Returning_Visitor,False,False
150,0.0,0.0,242.5,0.0,0.05,0.0,0.0,Dec,8,13,9,20,Other,False,False
151,180.0,258.0,5233.590476,0.009090909,0.035239899,0.0,0.0,May,2,2,4,4,Returning_Visitor,False,False
152,0.0,0.0,231.75,0.0,0.016666667,0.0,0.0,Nov,1,1,2,1,Returning_Visitor,False,False
153,699.1666667,0.0,1003.965152,0.009850746,0.039110006,0.0,0.0,Mar,2,4,3,1,Returning_Visitor,False,False
154,96.0,18.0,2130.025,0.0,0.010061728,0.0,0.0,May,2,2,3,4,Returning_Visitor,False,False
155,0.0,0.0,680.75,0.0,0.014285714,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,False
156,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
157,98.5,0.0,436.5,0.0,0.016666667,0.0,0.0,Mar,7,1,1,2,New_Visitor,True,False
158,0.0,0.0,24.0,0.0,0.1,0.0,0.0,Mar,2,6,1,2,Returning_Visitor,False,False
159,0.0,0.0,453.0,0.0,0.037634409,0.0,0.0,May,2,2,1,1,Returning_Visitor,False,False
160,64.5,0.0,2696.10873,0.003436426,0.021408935,5.770973155,0.0,Nov,2,2,1,13,Returning_Visitor,False,True
161,0.0,0.0,123.0,0.0,0.036363636,0.0,0.0,May,2,2,4,13,Returning_Visitor,False,False
162,96.5,0.0,323.5,0.0,0.02,0.0,0.0,Dec,1,1,6,2,Returning_Visitor,False,False
163,41.33333333,0.0,4569.904365,0.0,0.00891253,0.0,0.8,May,2,2,4,4,Returning_Visitor,False,False
164,81.0,0.0,131.5,0.0,0.003076923,0.0,1.0,May,3,2,1,4,Returning_Visitor,True,False
165,34.0,0.0,2456.297619,0.001408451,0.003553372,0.0,0.0,May,2,2,3,2,Returning_Visitor,False,False
166,10.0,36.6,1983.225629,0.0025,0.007916667,15.50362136,0.0,June,3,2,1,2,Returning_Visitor,False,False
167,69.8,0.0,1764.180047,0.007007576,0.032261103,0.0,0.0,June,2,6,1,1,Returning_Visitor,False,False
168,80.66666667,278.25,233.375,0.022222222,0.02,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
169,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,9,3,Returning_Visitor,False,False
170,219.9333333,0.0,1371.415714,0.002539683,0.011752445,0.0,0.0,Oct,3,2,1,5,Returning_Visitor,True,False
171,0.0,0.0,90.66666667,0.04,0.12,0.0,0.0,May,2,2,6,6,Returning_Visitor,False,False
172,0.0,0.0,650.1666667,0.036363636,0.060606061,0.0,0.0,Oct,1,1,6,1,Returning_Visitor,False,False
173,44.22857143,0.0,311.79,0.0,0.002666667,34.03997536,0.0,June,2,2,1,5,New_Visitor,False,True
174,462.0,57.0,1621.152083,0.007692308,0.023447941,0.0,0.0,May,3,2,5,1,Returning_Visitor,False,False
175,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Dec,3,2,6,1,Returning_Visitor,False,False
176,112.8,0.0,1555.967143,0.0,0.001724138,44.85638692,0.0,Nov,1,1,4,2,New_Visitor,False,True
177,126.25,0.0,286.5166667,0.005263158,0.01754386,0.0,0.0,Dec,1,1,2,10,Returning_Visitor,False,False
178,269.0,0.0,1109.883333,0.013888889,0.027742165,0.0,0.0,Mar,1,1,4,1,Returning_Visitor,False,False
179,36.0,0.0,6817.942235,0.00167364,0.01380616,3.960306296,0.0,Nov,2,2,1,3,Returning_Visitor,False,True
180,0.0,0.0,0.0,0.2,0.2,0.0,0.0,May,1,1,1,1,Returning_Visitor,False,False
181,0.0,0.0,26.5,0.04,0.12,0.0,0.0,Mar,1,1,3,1,Returning_Visitor,False,False
182,162.05,0.0,399.6939394,0.0,0.009195402,0.0,0.0,Mar,1,1,7,2,New_Visitor,False,False
183,55.4,0.0,949.6,0.0,0.046666667,0.0,0.0,Oct,1,8,5,11,Returning_Visitor,False,False
184,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Jul,3,2,3,1,Returning_Visitor,True,False
185,20.2,226.0,1308.573395,0.032611502,0.054407935,0.0,0.0,June,3,2,6,2,Returning_Visitor,False,False
186,0.0,0.0,1017.5,0.005,0.033333333,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,False,False
187,0.0,0.0,46.75,0.0,0.05,0.0,0.0,Nov,1,1,3,3,Returning_Visitor,False,False
188,0.0,0.0,28.0,0.066666667,0.133333333,0.0,0.8,May,2,2,7,6,Returning_Visitor,False,False
189,69.5,0.0,34.5,0.0,0.026666667,0.0,0.0,May,2,2,3,4,Returning_Visitor,True,False
190,51.0,117.2857143,969.102381,0.005882353,0.008888889,0.0,0.0,Mar,3,3,1,2,Returning_Visitor,False,False
191,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,True,False
192,97.0,0.0,59.0,0.0,0.013333333,0.0,0.0,May,2,2,6,6,New_Visitor,False,False
193,0.0,0.0,583.1666667,0.010526316,0.030701754,0.0,0.8,May,2,4,1,3,Returning_Visitor,False,False
194,0.0,0.0,453.3333333,0.015384615,0.034615385,0.0,0.8,May,2,4,1,4,Returning_Visitor,False,False
195,213.6,108.0,989.3333333,0.029166667,0.0375,0.0,0.0,June,1,1,1,2,Returning_Visitor,True,False
196,0.0,16.0,1621.766667,0.007894737,0.040131579,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
197,80.0,21.0,1193.333333,0.00097561,0.01804878,6.53004878,0.0,May,2,2,1,4,Returning_Visitor,False,False
198,0.0,0.0,943.25,0.008695652,0.046376812,0.0,0.0,Nov,1,1,3,3,Returning_Visitor,False,False
199,0.0,0.0,2494.8171,0.002777778,0.013842593,0.0,0.0,Nov,1,2,1,11,Returning_Visitor,False,False
200,133.4,0.0,2666.066667,0.002272727,0.016576479,17.06291074,0.0,Dec,1,1,4,2,Returning_Visitor,False,False
201,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Dec,2,2,3,13,Returning_Visitor,False,False
202,57.0,59.5,553.1666667,0.0,0.011111111,0.0,0.0,May,2,2,1,1,Returning_Visitor,True,False
203,235.75,66.5,729.7916667,0.004545455,0.018181818,60.42298474,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
204,0.0,18.0,0.0,0.066666667,0.133333333,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
205,13.0,0.0,209.7,0.023529412,0.038235294,0.0,0.0,June,1,1,3,4,Returning_Visitor,False,False
206,0.0,0.0,481.4,0.068518519,0.091604938,0.0,0.0,Aug,3,2,3,3,Returning_Visitor,False,False
207,0.0,0.0,403.8333333,0.017857143,0.029829932,0.0,0.0,Jul,1,1,6,4,Returning_Visitor,False,False
208,0.0,0.0,22.0,0.0,0.1,0.0,0.0,Dec,2,2,3,1,Returning_Visitor,False,False
209,11.0,0.0,285.6666667,0.0,0.022222222,0.0,0.0,May,2,10,3,3,Returning_Visitor,False,False
210,231.0,8.0,3486.690476,0.003301887,0.013104972,0.0,0.0,Mar,2,10,1,1,Returning_Visitor,True,False
211,3.0,161.5,4791.460889,0.004373522,0.020956372,5.482895824,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
212,246.8,0.0,175.7666667,0.04,0.053333333,0.0,0.0,Sep,3,2,1,1,Returning_Visitor,False,False
213,266.7,0.0,843.0166667,0.0,0.015151515,9.542515706,0.0,Sep,2,2,1,4,Returning_Visitor,False,False
214,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Mar,2,5,1,3,Returning_Visitor,False,False
215,0.0,0.0,889.72,0.012121212,0.044444444,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
216,245.3333333,168.5,361.5,0.009090909,0.009090909,0.0,0.0,May,1,1,3,3,Returning_Visitor,False,False
217,0.0,0.0,35.25,0.0,0.066666667,0.0,0.0,Nov,1,1,3,2,Returning_Visitor,False,False
218,43.46666667,0.0,27.26666667,0.0,0.028571429,0.0,0.0,Sep,1,1,1,5,New_Visitor,False,True
219,15.0,0.0,2081.5,0.0,0.017142857,0.0,0.6,May,2,10,1,3,Returning_Visitor,False,False
220,3.5,0.0,663.5277778,0.0,0.005319149,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,False,False
221,209.2,0.0,447.1666667,0.008695652,0.041304348,0.0,0.0,Aug,1,1,1,1,Returning_Visitor,False,False
222,240.2,0.0,1221.853846,0.002061856,0.014387171,1.722164948,0.0,May,2,4,1,4,Returning_Visitor,False,False
223,96.0,0.0,384.0,0.0,0.025,0.0,0.0,Mar,3,2,1,2,New_Visitor,False,False
224,65.0,243.0,681.6190476,0.0,0.011794872,28.29538462,1.0,May,2,2,1,2,Returning_Visitor,True,True
225,0.0,0.0,233.5,0.0,0.033333333,0.0,0.0,May,1,1,1,1,Returning_Visitor,False,False
226,98.0,216.0,1243.5,0.0,0.008695652,32.80852174,0.0,May,1,1,2,2,New_Visitor,False,True
227,0.0,0.0,211.4166667,0.033333333,0.061111111,0.0,0.0,Nov,2,2,5,3,Returning_Visitor,True,False
228,243.68,0.0,1256.0,0.0,0.01875,0.0,0.0,June,2,2,3,1,New_Visitor,False,False
229,19.0,0.0,88.0,0.0,0.02,0.0,0.0,Dec,1,1,1,3,Returning_Visitor,False,False
230,0.0,0.0,1085.9,0.0,0.007407407,30.54596337,0.0,Nov,2,2,1,4,New_Visitor,False,True
231,0.0,0.0,23.0,0.12,0.16,0.0,0.0,Dec,1,1,1,3,Returning_Visitor,False,False
232,191.1666667,0.0,4656.331746,0.006456456,0.018326694,0.0,0.0,Nov,3,2,1,10,Returning_Visitor,False,False
233,116.0,0.0,1350.258333,0.012903226,0.023870968,0.0,0.0,Dec,3,2,8,2,Returning_Visitor,False,False
234,77.33333333,52.33333333,126.6666667,0.0,0.016666667,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
235,0.0,0.0,209.5,0.0,0.025,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
236,45.5,0.0,122.25,0.0,0.018181818,0.0,0.0,Dec,2,2,7,2,New_Visitor,False,False
